x [m],y_bottom [m],y_top [m]
0.0,0.0,0.01
0.00020066889632107022,0.0,0.01
0.00040133779264214044,0.0,0.01
0.0006020066889632107,0.0,0.01
0.0008026755852842809,0.0,0.01
0.001003344481605351,0.0,0.01
0.0012040133779264214,0.0,0.01
0.0014046822742474914,0.0,0.01
0.0016053511705685617,0.0,0.01
0.001806020066889632,0.0,0.01
0.002006688963210702,0.0,0.01
0.002207357859531772,0.0,0.01
0.0024080267558528427,0.0,0.01
0.002608695652173913,0.0,0.01
0.002809364548494983,0.0,0.01
0.0030100334448160534,0.0,0.01
0.0032107023411371235,0.0,0.01
0.0034113712374581936,0.0,0.01
0.003612040133779264,0.0,0.01
0.003812709030100334,0.0,0.01
0.004013377926421404,0.0,0.01
0.004214046822742475,0.0,0.01
0.004414715719063544,0.0,0.01
0.004615384615384615,0.0,0.01
0.0048160535117056855,0.0,0.01
0.005016722408026755,0.0,0.01
0.005217391304347826,0.0,0.01
0.005418060200668896,0.0,0.01
0.005618729096989966,0.0,0.01
0.005819397993311036,0.0,0.01
0.006020066889632107,0.0,0.01
0.0062207357859531765,0.0,0.01
0.006421404682274247,0.0,0.01
0.0066220735785953175,0.0,0.01
0.006822742474916387,0.0,0.01
0.007023411371237458,0.0,0.01
0.007224080267558528,0.0,0.01
0.007424749163879598,0.0,0.01
0.007625418060200668,0.0,0.01
0.007826086956521738,0.0,0.01
0.008026755852842809,0.0,0.01
0.008227424749163879,0.0,0.01
0.00842809364548495,0.0,0.01
0.00862876254180602,0.0,0.01
0.008829431438127089,0.0,0.01
0.00903010033444816,0.0,0.01
0.00923076923076923,0.0,0.01
0.0094314381270903,0.0,0.01
0.009632107023411371,0.0,0.01
0.009832775919732441,0.0,0.01
0.01003344481605351,0.0,0.01
0.01023411371237458,0.0,0.01
0.010434782608695651,0.0,0.01
0.010635451505016722,0.0,0.01
0.010836120401337792,0.0,0.01
0.011036789297658863,0.0,0.01
0.011237458193979932,0.0,0.01
0.011438127090301002,0.0,0.01
0.011638795986622073,0.0,0.01
0.011839464882943143,0.0,0.01
0.012040133779264214,0.0,0.01
0.012240802675585284,0.0,0.01
0.012441471571906353,0.0,0.01
0.012642140468227423,0.0,0.01
0.012842809364548494,0.0,0.01
0.013043478260869565,0.0,0.01
0.013244147157190635,0.0,0.01
0.013444816053511704,0.0,0.01
0.013645484949832774,0.0,0.01
0.013846153846153845,0.0,0.01
0.014046822742474915,0.0,0.01
0.014247491638795986,0.0,0.01
0.014448160535117056,0.0,0.01
0.014648829431438125,0.0,0.01
0.014849498327759196,0.0,0.01
0.015050167224080266,0.0,0.01
0.015250836120401337,0.0,0.01
0.015451505016722407,0.0,0.01
0.015652173913043476,0.0,0.01
0.015852842809364547,0.0,0.01
0.016053511705685617,0.0,0.01
0.016254180602006688,0.0,0.01
0.016454849498327758,0.0,0.01
0.01665551839464883,0.0,0.01
0.0168561872909699,0.0,0.01
0.01705685618729097,0.0,0.01
0.01725752508361204,0.0,0.01
0.01745819397993311,0.0,0.01
0.017658862876254178,0.0,0.01
0.017859531772575248,0.0,0.01
0.01806020066889632,0.0,0.01
0.01826086956521739,0.0,0.01
0.01846153846153846,0.0,0.01
0.01866220735785953,0.0,0.01
0.0188628762541806,0.0,0.01
0.01906354515050167,0.0,0.01
0.019264214046822742,0.0,0.01
0.019464882943143812,0.0,0.01
0.019665551839464883,0.0,0.01
0.01986622073578595,0.0,0.01
0.02006688963210702,0.0,0.01
0.02026755852842809,0.0,0.01
0.02046822742474916,0.0,0.01
0.020668896321070232,0.0,0.01
0.020869565217391303,0.0,0.01
0.021070234113712373,0.0,0.01
0.021270903010033444,0.0,0.01
0.021471571906354514,0.0,0.01
0.021672240802675585,0.0,0.01
0.021872909698996655,0.0,0.01
0.022073578595317726,0.0,0.01
0.022274247491638793,0.0,0.01
0.022474916387959863,0.0,0.01
0.022675585284280934,0.0,0.01
0.022876254180602004,0.0,0.01
0.023076923076923075,0.0,0.01
0.023277591973244145,0.0,0.01
0.023478260869565216,0.0,0.01
0.023678929765886286,0.0,0.01
0.023879598662207357,0.0,0.01
0.024080267558528427,0.0,0.01
0.024280936454849498,0.0,0.01
0.02448160535117057,0.0,0.01
0.024682274247491635,0.0,0.01
0.024882943143812706,0.0,0.01
0.025083612040133776,0.0,0.01
0.025284280936454847,0.0,0.01
0.025484949832775917,0.0,0.01
0.025685618729096988,0.0,0.01
0.02588628762541806,0.0,0.01
0.02608695652173913,0.0,0.01
0.0262876254180602,0.0,0.01
0.02648829431438127,0.0,0.01
0.02668896321070234,0.0,0.01
0.026889632107023408,0.0,0.01
0.027090301003344478,0.0,0.01
0.02729096989966555,0.0,0.01
0.02749163879598662,0.0,0.01
0.02769230769230769,0.0,0.01
0.02789297658862876,0.0,0.01
0.02809364548494983,0.0,0.01
0.0282943143812709,0.0,0.01
0.028494983277591972,0.0,0.01
0.028695652173913042,0.0,0.01
0.028896321070234113,0.0,0.01
0.029096989966555183,0.0,0.01
0.02929765886287625,0.0,0.01
0.02949832775919732,0.0,0.01
0.02969899665551839,0.0,0.01
0.029899665551839462,0.0,0.01
0.030100334448160532,0.0,0.01
0.030301003344481603,0.0,0.01
0.030501672240802673,0.0,0.01
0.030702341137123744,0.0,0.01
0.030903010033444814,0.0,0.01
0.031103678929765885,0.0,0.01
0.03130434782608695,0.0,0.01
0.031505016722408026,0.0,0.01
0.03170568561872909,0.0,0.01
0.03190635451505017,0.0,0.01
0.032107023411371234,0.0,0.01
0.03230769230769231,0.0,0.01
0.032508361204013375,0.0,0.01
0.03270903010033444,0.0,0.01
0.032909698996655516,0.0,0.01
0.03311036789297658,0.0,0.01
0.03331103678929766,0.0,0.01
0.033511705685618724,0.0,0.01
0.0337123745819398,0.0,0.01
0.033913043478260865,0.0,0.01
0.03411371237458194,0.0,0.01
0.034314381270903006,0.0,0.01
0.03451505016722408,0.0,0.01
0.03471571906354515,0.0,0.01
0.03491638795986622,0.0,0.01
0.03511705685618729,0.0,0.01
0.035317725752508355,0.0,0.01
0.03551839464882943,0.0,0.01
0.035719063545150496,0.0,0.01
0.03591973244147157,0.0,0.01
0.03612040133779264,0.0,0.01
0.03632107023411371,0.0,0.01
0.03652173913043478,0.0,0.01
0.03672240802675585,0.0,0.01
0.03692307692307692,0.0,0.01
0.037123745819397994,0.0,0.01
0.03732441471571906,0.0,0.01
0.03752508361204013,0.0,0.01
0.0377257525083612,0.0,0.01
0.03792642140468227,0.0,0.01
0.03812709030100334,0.0,0.01
0.03832775919732441,0.0,0.01
0.038528428093645484,0.0,0.01
0.03872909698996655,0.0,0.01
0.038929765886287625,0.0,0.01
0.03913043478260869,0.0,0.01
0.039331103678929766,0.0,0.01
0.03953177257525083,0.0,0.01
0.0397324414715719,0.0,0.01
0.039933110367892974,0.0,0.01
0.04013377926421404,0.0,0.01
0.040334448160535115,0.0,0.01
0.04053511705685618,0.0,0.01
0.040735785953177256,0.0,0.01
0.04093645484949832,0.0,0.01
0.0411371237458194,0.0,0.01
0.041337792642140464,0.0,0.01
0.04153846153846154,0.0,0.01
0.041739130434782605,0.0,0.01
0.04193979933110368,0.0,0.01
0.042140468227424746,0.0,0.01
0.04234113712374581,0.0,0.01
0.04254180602006689,0.0,0.01
0.042742474916387954,0.0,0.01
0.04294314381270903,0.0,0.01
0.043143812709030095,0.0,0.01
0.04334448160535117,0.0,0.01
0.043545150501672236,0.0,0.01
0.04374581939799331,0.0,0.01
0.04394648829431438,0.0,0.01
0.04414715719063545,0.0,0.01
0.04434782608695652,0.0,0.01
0.044548494983277585,0.0,0.01
0.04474916387959866,0.0,0.01
0.044949832775919726,0.0,0.01
0.0451505016722408,0.0,0.01
0.04535117056856187,0.0,0.01
0.04555183946488294,0.0,0.01
0.04575250836120401,0.0,0.01
0.04595317725752508,0.0,0.01
0.04615384615384615,0.0,0.01
0.04635451505016722,0.0,0.01
0.04655518394648829,0.0,0.01
0.04675585284280936,0.0,0.01
0.04695652173913043,0.0,0.01
0.0471571906354515,0.0,0.01
0.04735785953177257,0.0,0.01
0.04755852842809364,0.0,0.01
0.047759197324414714,0.0,0.01
0.04795986622073578,0.0,0.01
0.048160535117056855,0.0,0.01
0.04836120401337792,0.0,0.01
0.048561872909698996,0.0,0.01
0.04876254180602006,0.0,0.01
0.04896321070234114,0.0,0.01
0.049163879598662204,0.0,0.01
0.04936454849498327,0.0,0.01
0.049565217391304345,0.0,0.01
0.04976588628762541,0.0,0.01
0.049966555183946486,0.0,0.01
0.05016722408026755,0.0,0.01
0.05036789297658863,0.0,0.01
0.050568561872909694,0.0,0.01
0.05076923076923077,0.0,0.01
0.050969899665551835,0.0,0.01
0.05117056856187291,0.0,0.01
0.051371237458193976,0.0,0.01
0.05157190635451504,0.0,0.01
0.05177257525083612,0.0,0.01
0.051973244147157184,0.0,0.01
0.05217391304347826,0.0,0.01
0.052374581939799325,0.0,0.01
