x [m],y_bottom [m],y_top [m]
0.0,0.0,0.010353553390593274
0.00020066889632107022,6.287509420179388e-05,0.01030628745661014
0.00040133779264214044,0.0001247519756931688,0.010254158865383917
0.0006020066889632107,0.00018464827951117862,0.010197995216825174
0.0008026755852842809,0.0002416130845870395,0.010138688171909795
0.001003344481605351,0.00029474201068569746,0.010077179296559925
0.0012040133779264214,0.0003431915764574088,0.01001444511322785
0.0014046822742474914,0.00038619259065114506,0.009951481597505729
0.0016053511705685617,0.0004230623638892757,0.009889288365894892
0.001806020066889632,0.0004532155471278939,0.009828852805771596
0.002006688963210702,0.0004761734247300611,0.009771134399503896
0.002207357859531772,0.0004915715146139983,0.009717049491591835
0.0024080267558528427,0.0004991653548153386,0.009667456740669728
0.002608695652173913,0.0004988343845952696,0.00962314348733632
0.002809364548494983,0.0004905838584776158,0.009584813254238838
0.0030100334448160534,0.0004745447628273731,0.009553074576861114
0.0032107023411371235,0.00045097173629510685,0.009528431342339584
0.0034113712374581936,0.00042023902714249,0.009511274789689276
0.003612040133779264,0.0003828345516309804,0.0095018772984452
0.003812709030100334,0.0003393521478033859,0.009500388064331433
0.004013377926421404,0.00029048214763823156,0.009506830730611496
0.004214046822742475,0.00023700041725456395,0.009521103012725005
0.004414715719063544,0.00017975603916624514,0.009542978322169892
0.004615384615384615,0.00011965783214377905,0.009572109363849276
0.0048160535117056855,5.765992269599706e-05,0.009608033649771032
0.005016722408026755,-5.253402759467828e-06,0.009650180841563901
0.005217391304347826,-6.80833245481232e-05,0.009697881805239453
0.005418060200668896,-0.00012983234712232315,0.009750379234445392
0.005618729096989966,-0.00018952013542297932,0.009806839673554132
0.005819397993311036,-0.0002461990787992466,0.009866366749706595
0.006020066889632107,-0.0002989693353914895,0.009928015403737724
0.0062207357859531765,-0.00034699311813105694,0.009990806894051735
0.006421404682274247,-0.00038950799555058385,0.010053744335243787
0.0066220735785953175,-0.0004258389962395163,0.010115828524774998
0.006822742474916387,-0.0004554093247730465,0.01017607380643454
0.007023411371237458,-0.0004777495189870516,0.0102335237187386
0.007224080267558528,-0.0004925049032170135,0.010287266179830242
0.007424749163879598,-0.0004994412191723887,0.010336447967802897
0.007625418060200668,-0.0004984483450499732,0.010380288266556027
0.007826086956521738,-0.0004895420438411615,0.010418091062127356
0.008026755852842809,-0.00047286371307676166,0.01044925619269593
